p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
5.95128065505065e-55	0.422837940073716	0.225	0.048	3.98317354467336e-53	Astrocyte	TTLL4
1.97367413322591e-54	-0.629951897083607	0.489	0.851	1.31073382165476e-52	Astrocyte	CACNB4
3.63645381321183e-54	0.601882818683128	0.425	0.153	2.3964230629066e-52	Astrocyte	CBR1
2.66795756736393e-53	0.800985971042275	0.777	0.51	1.74476278470281e-51	Astrocyte	APC
4.58193720907598e-53	0.594734301498601	0.468	0.176	2.97374667198136e-51	Astrocyte	PCSK5
7.26241148255641e-53	0.496611917440894	0.271	0.068	4.67797587752337e-51	Astrocyte	SDC2
1.50875422433728e-52	0.466403852339341	0.296	0.079	9.64589361186376e-51	Astrocyte	SCD
2.8478683536816e-52	0.588504349220472	0.97	0.907	1.80723616192521e-50	Astrocyte	FTH1
9.40957544034941e-52	0.56267051522192	0.392	0.136	5.92734064687304e-50	Astrocyte	ZFHX3
3.68766356993274e-51	-0.649210772685945	0.408	0.776	2.30600100756305e-49	Astrocyte	SLC2A13
4.65155300592097e-51	0.759529642651618	0.747	0.48	2.8876706233134e-49	Astrocyte	OPHN1
1.10366552559591e-50	-0.569434384378843	0.481	0.838	6.80223205595697e-49	Astrocyte	PTPRN2
3.01100079029628e-50	-0.647131662096451	0.516	0.89	1.8425174121763e-48	Astrocyte	PLEKHA5
2.28576279550114e-49	0.586552024706773	0.937	0.824	1.38880353681264e-47	Astrocyte	FMNL2
2.52190921246135e-49	0.856826527668974	0.496	0.219	1.52149269177157e-47	Astrocyte	RNF220
1.04154099391977e-48	0.332974474053207	0.172	0.032	6.23977740902842e-47	Astrocyte	COL9A2
1.08845720498598e-48	-0.558132899189168	0.701	0.919	6.47556449660756e-47	Astrocyte	KALRN
3.38263257926417e-48	0.519935287343519	0.306	0.093	1.99855264183146e-46	Astrocyte	CAT
8.08229118954589e-48	0.672979280316496	0.957	0.87	4.7425334671808e-46	Astrocyte	CKB
8.15370368253602e-48	0.566571925087583	0.375	0.129	4.75188975838681e-46	Astrocyte	PREX1
1.82227281952635e-47	0.439449356601297	0.238	0.059	1.04774572113304e-45	Astrocyte	AXL
2.53412385590628e-47	0.420462073828166	0.301	0.087	1.44732260490327e-45	Astrocyte	ENOSF1
6.26996683569368e-47	0.68773307123817	0.506	0.226	3.55727191267469e-45	Astrocyte	RHOBTB3
8.71016763225078e-47	0.560138309443785	0.896	0.764	4.90921092799292e-45	Astrocyte	DOCK4
3.17636222080682e-46	0.575730869455251	0.458	0.185	1.77855523827791e-44	Astrocyte	MTUS1
4.1017271356641e-46	-0.671096943493009	0.357	0.7	2.28178547865158e-44	Astrocyte	FMN1
4.69682174000548e-46	0.710684722990232	0.711	0.448	2.59597882881464e-44	Astrocyte	SLC39A11
1.17449646509613e-45	-0.539860417313022	0.443	0.785	6.40886064743859e-44	Astrocyte	HECW2
1.82146978291678e-45	0.386863607881557	0.192	0.042	9.87628584192914e-44	Astrocyte	TP53BP2
1.8610765214722e-45	-0.634962526438279	0.453	0.797	1.00275739367625e-43	Astrocyte	BASP1
2.53854447789724e-45	0.517416663451733	0.441	0.177	1.35923190888411e-43	Astrocyte	KAT2B
2.84582249911643e-45	-0.669355242457223	0.471	0.806	1.51429573602053e-43	Astrocyte	FAM19A2
3.94270461809262e-45	0.632950575083758	0.41	0.159	2.07221781982819e-43	Astrocyte	FKBP5
6.13320649830405e-45	0.722320597466319	0.762	0.502	3.18443515581641e-43	Astrocyte	CSGALNACT1
1.2456657473299e-44	0.590497933606658	0.866	0.67	6.42868581769591e-43	Astrocyte	ZSWIM6
2.44568901492042e-44	0.685480835161643	0.403	0.154	1.25362627556599e-42	Astrocyte	CNP
2.45837766190132e-44	0.400421180855224	0.246	0.063	1.25362627556599e-42	Astrocyte	PLLP
2.50200732409345e-44	0.527151337347692	0.354	0.125	1.26832525121353e-42	Astrocyte	FAXDC2
2.68172585141285e-44	-0.636535164830985	0.486	0.828	1.35143208053258e-42	Astrocyte	SLC8A1
6.074972002613e-44	-0.627280884676574	0.618	0.902	3.04352544715705e-42	Astrocyte	R3HDM1
6.28518466184157e-44	-0.559967905346366	0.742	0.939	3.13053354639516e-42	Astrocyte	PHACTR1
6.69202052838613e-44	-0.489003310600977	0.641	0.94	3.31390403853664e-42	Astrocyte	AHI1
7.41343131751237e-44	0.573163054465532	0.403	0.154	3.65004977569704e-42	Astrocyte	RASSF4
1.12469576490283e-43	-0.634143202111094	0.428	0.756	5.50586778167002e-42	Astrocyte	KHDRBS3
1.21379446567134e-43	0.313455716885502	0.19	0.042	5.90828249284453e-42	Astrocyte	S100A13
3.80491689083836e-43	-0.60141809315973	0.425	0.764	1.84162276857696e-41	Astrocyte	NCALD
4.088600922711e-43	0.944991498663117	0.678	0.432	1.96781146656546e-41	Astrocyte	ID2
5.27919821596379e-43	0.669101075390406	0.582	0.3	2.52664196179675e-41	Astrocyte	SFMBT2
7.95364326796742e-43	-0.404683684164778	0.792	0.969	3.78549232648205e-41	Astrocyte	DOCK3
1.47445716483203e-42	-0.605321897844381	0.408	0.746	6.9788257077989e-41	Astrocyte	ARL15
1.70088089505375e-42	0.353868345586899	0.248	0.067	8.00628935600302e-41	Astrocyte	CHD7
1.90139887285935e-42	0.635112161023656	0.752	0.522	8.9012481660033e-41	Astrocyte	SCD5
1.94313275944057e-42	-0.52373781950057	0.481	0.837	9.04718388593878e-41	Astrocyte	AFF3
2.06263643248731e-42	-0.540655594542082	0.362	0.696	9.5516790903345e-41	Astrocyte	GLS
4.27646396596934e-42	-0.534779170264774	0.456	0.778	1.96970251593867e-40	Astrocyte	AEBP2
5.90830946328377e-42	0.675154433386608	0.628	0.361	2.70676401989048e-40	Astrocyte	IQCK
1.08022585211065e-41	-0.529420793162282	0.711	0.925	4.92249727395315e-40	Astrocyte	DMD
